sample,dx_px,dy_px,depth_boundary_distance,depth_boundary_pixels,selected_dx_px,selected_dy_px,selected_mean_depth_boundary_distance,baseline_mean_depth_boundary_distance
103_seq385,-2,-2,22.265153884887695,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,-2,-2,23.41048240661621,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,-2,-2,23.24484634399414,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,-2,-1,21.37993049621582,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,-2,-1,24.852025985717773,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,-2,-1,23.143383026123047,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,-2,0,21.048234939575195,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,-2,0,24.6214599609375,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,-2,0,22.99688720703125,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,-2,1,22.136266708374023,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,-2,1,22.986852645874023,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,-2,1,22.882221221923828,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,-2,2,21.209474563598633,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,-2,2,23.06509017944336,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,-2,2,22.737213134765625,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,-1,-2,22.22284698486328,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,-1,-2,24.96395492553711,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,-1,-2,23.216617584228516,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,-1,-1,21.63827896118164,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,-1,-1,24.759958267211914,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,-1,-1,23.079551696777344,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,-1,0,21.311479568481445,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,-1,0,23.27292251586914,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,-1,0,22.953067779541016,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,-1,1,21.581581115722656,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,-1,1,24.243873596191406,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,-1,1,22.7469482421875,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,-1,2,21.222383499145508,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,-1,2,24.035715103149414,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,-1,2,22.6621036529541,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,0,-2,22.210086822509766,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,0,-2,24.43798828125,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,0,-2,23.939836502075195,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,0,-1,21.818777084350586,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,0,-1,24.02235984802246,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,0,-1,23.767906188964844,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,0,0,21.62982940673828,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,0,0,25.25857162475586,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,0,0,23.619186401367188,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,0,1,21.625608444213867,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,0,1,23.86347198486328,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,0,1,23.438766479492188,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,0,2,22.016374588012695,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,0,2,24.803861618041992,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,0,2,23.268455505371094,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,1,-2,21.44293785095215,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,1,-2,24.121889114379883,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,1,-2,24.048616409301758,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,1,-1,21.55907440185547,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,1,-1,25.47734832763672,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,1,-1,23.885618209838867,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,1,0,22.010364532470703,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,1,0,25.222702026367188,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,1,0,23.680252075195312,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,1,1,21.510112762451172,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,1,1,24.96980094909668,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,1,1,23.208341598510742,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,1,2,21.108123779296875,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,1,2,24.71506690979004,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,1,2,23.391246795654297,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,2,-2,21.85018539428711,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,2,-2,24.303197860717773,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,2,-2,24.02594757080078,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,2,-1,21.76300048828125,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,2,-1,24.15818214416504,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,2,-1,23.89875602722168,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,2,0,22.005529403686523,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,2,0,25.098480224609375,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,2,0,23.733348846435547,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,2,1,21.584732055664062,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,2,1,24.8808536529541,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,2,1,23.59086799621582,6075,-2,2,22.33725929260254,23.50252914428711
103_seq385,2,2,21.209001541137695,5950,-2,2,22.33725929260254,23.50252914428711
104_seq386,2,2,23.708759307861328,6091,-2,2,22.33725929260254,23.50252914428711
106_seq388,2,2,23.42688751220703,6075,-2,2,22.33725929260254,23.50252914428711
