candidate,plane_depth_mm,t_scale,lwir_cx_offset,lwir_cy_offset,max_residual_shift,aligned_id_mean,aligned_id_min,aligned_id_max,sequence_mean,sequence_min,sequence_max,target_ncc_mean,target_ncc_min,target_ncc_max,target_mi_mean,target_mi_min,target_mi_max,target_edge_distance_mean,target_edge_distance_min,target_edge_distance_max,target_valid_ratio_mean,target_valid_ratio_min,target_valid_ratio_max,raw_rgb_ncc_mean,raw_rgb_ncc_min,raw_rgb_ncc_max,raw_rgb_mi_mean,raw_rgb_mi_min,raw_rgb_mi_max,raw_rgb_edge_distance_mean,raw_rgb_edge_distance_min,raw_rgb_edge_distance_max,valid_ratio_mean,valid_ratio_min,valid_ratio_max,boundary_f1_mean,boundary_f1_min,boundary_f1_max,boundary_edge_distance_mean,boundary_edge_distance_min,boundary_edge_distance_max,boundary_precision_mean,boundary_precision_min,boundary_precision_max,boundary_recall_mean,boundary_recall_min,boundary_recall_max,residual_dx_mean,residual_dx_min,residual_dx_max,residual_dy_mean,residual_dy_min,residual_dy_max,residual_accepted_mean,residual_accepted_min,residual_accepted_max,selection_score,stage
d325_t1.45_ox14_oy0_r2,325.0,1.45,14.0,0.0,2,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2623670945564906,0.16870535910129547,0.3648748993873596,0.5388221719460075,0.49268743856707126,0.5649333951669814,5.4258049329121905,3.9272403717041016,6.602059364318848,0.8336512586805555,0.8336512586805556,0.8336512586805556,0.2632133662700653,0.18424658477306366,0.3666345179080963,0.18523984008576433,0.15803833532186604,0.21212317810590683,2.1906277338663735,1.4213368892669678,2.882617473602295,0.8336512586805555,0.8336512586805556,0.8336512586805556,0.20243566123300671,0.17240476717815048,0.2430306006294221,2.191103974978129,1.4227656126022339,2.882617473602295,0.710555362049615,0.6072727272727273,0.8206896551724138,0.11805893256311632,0.10046312789454934,0.1426344505066251,1.3333333333333333,0.0,2.0,-1.3333333333333333,-2.0,0.0,0.6666666666666666,0.0,1.0,0.2668751566179682,residual_refine
d300_t1.43_ox10_oy0_r2,300.0,1.425,10.0,0.0,2,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2621452460686366,0.1707695871591568,0.36278316378593445,0.5371573185947564,0.4927181142895074,0.5647743543343356,5.348782142003377,3.98061203956604,6.600234031677246,0.8322641782407407,0.8312673611111111,0.8327625868055556,0.2609509627024333,0.1774870753288269,0.36195752024650574,0.1844992832360656,0.16413803827195683,0.2102323507641477,2.29122793674469,1.505170226097107,3.1051478385925293,0.8322641782407407,0.8312673611111111,0.8327625868055556,0.19615773277807455,0.1576325443545545,0.23838851836740219,2.291724681854248,1.5066604614257812,3.1051478385925293,0.7091279593800941,0.5804195804195804,0.8273381294964028,0.11384557971628091,0.09120057000356252,0.13925694985710574,0.6666666666666666,-2.0,2.0,-1.3333333333333333,-2.0,0.0,1.0,1.0,1.0,0.2667183057852579,residual_refine
d325_t1.48_ox14_oy0_r2,325.0,1.475,14.0,0.0,2,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.26312560339768726,0.1688254028558731,0.3676691949367523,0.536805558929316,0.4929467502627246,0.5642784025899744,5.559448798497518,3.896751642227173,6.5348687171936035,0.8319401041666666,0.8319401041666666,0.8319401041666666,0.2616617778937022,0.1811075657606125,0.35503116250038147,0.1800960058739406,0.15461389080300522,0.2036001442024304,2.20977791150411,1.4299767017364502,2.884740114212036,0.8319401041666666,0.8319401041666666,0.8319401041666666,0.19944784064018548,0.1734053361176601,0.23625526657242663,2.2109200159708657,1.4315111637115479,2.884740114212036,0.7195293198591921,0.6192170818505338,0.8407407407407408,0.11577590340850175,0.10081938012112576,0.1374382956612107,1.3333333333333333,0.0,2.0,-1.3333333333333333,-2.0,0.0,0.6666666666666666,0.0,1.0,0.2665815805851772,residual_refine
d300_t1.43_ox10_oy0_r0,300.0,1.425,10.0,0.0,0,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2621079782644908,0.16918480396270752,0.36279168725013733,0.5382136322119984,0.49282408767125707,0.561897021202187,5.453187783559163,3.9899420738220215,6.552310943603516,0.8327625868055556,0.8327625868055556,0.8327625868055556,0.22851088146368662,0.14073750376701355,0.3120458722114563,0.18167073557733437,0.1578913858980181,0.21133218989832714,2.7912180026372275,1.5245240926742554,3.9026169776916504,0.8327625868055556,0.8327625868055556,0.8327625868055556,0.1933883433119703,0.14742517830938814,0.2427868742998316,2.791686177253723,1.5259286165237427,3.9026169776916504,0.6560537456541874,0.5346534653465347,0.8067796610169492,0.1134450303782328,0.08550053437833986,0.14289425824889582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2659689503393342,residual_refine
d300_t1.43_ox12_oy0_r0,300.0,1.425,12.0,0.0,0,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2616330136855443,0.16723312437534332,0.36667612195014954,0.5347307700181533,0.49531839219022633,0.5607493510309278,5.375252564748128,4.059201240539551,6.993916988372803,0.83,0.83,0.83,0.22568526367346445,0.13387291133403778,0.291933536529541,0.1768233803561047,0.14929031658340283,0.20504028419032155,2.834580938021342,1.5490704774856567,3.8879616260528564,0.83,0.83,0.83,0.18887965896362988,0.14924990938321075,0.23972607962907885,2.835060437520345,1.550508975982666,3.8879616260528564,0.6610997934527346,0.5551948051948052,0.8055555555555556,0.11021512262107769,0.0862130388314927,0.14081579631073005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26556201974614474,residual_refine
d325_t1.45_ox14_oy0_r0,325.0,1.45,14.0,0.0,0,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.26113255818684894,0.16614708304405212,0.3637295663356781,0.5379522101323568,0.4927717851562542,0.5622391631368464,5.347157796223958,3.9821929931640625,6.602059364318848,0.8336512586805555,0.8336512586805556,0.8336512586805556,0.23628961046536764,0.14932025969028473,0.3207895755767822,0.18257112993137856,0.15669401533398303,0.21212317810590683,2.686004718144735,1.4213368892669678,3.729097366333008,0.8336512586805555,0.8336512586805556,0.8336512586805556,0.19200935959420282,0.149329371337893,0.2430306006294221,2.68648095925649,1.4227656126022339,3.729097366333008,0.6630719192962009,0.5429553264604811,0.8206896551724138,0.11227954799190536,0.08656929105806911,0.1426344505066251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26554768989583316,residual_refine
d300_t1.48_ox8_oy0_r0,300.0,1.475,8.0,0.0,0,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.26220204929510754,0.17077739536762238,0.3617974519729614,0.5380812372791031,0.49303675239238537,0.561999221915221,5.74263612429301,3.9126412868499756,7.436368942260742,0.8318196614583333,0.8318196614583333,0.8318196614583333,0.22433526813983917,0.13603414595127106,0.3048486113548279,0.18315952080322373,0.15855835162038856,0.21306171830706216,2.733250856399536,1.540433645248413,3.5351619720458984,0.8318196614583333,0.8318196614583333,0.8318196614583333,0.21172881439735594,0.18801197171611148,0.24095318244230857,2.734190305074056,1.5432519912719727,3.5351619720458984,0.6773464151056316,0.6041055718475073,0.8163265306122449,0.1255822193862051,0.11107921928817452,0.1413354117952715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2652367351331725,residual_refine
d300_t1.45_ox12_oy0_r0,300.0,1.45,12.0,0.0,0,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.26078202823797864,0.16733337938785553,0.3685007095336914,0.5324321610185403,0.49608762748518065,0.5590383372697774,5.234285831451416,4.082864284515381,6.593103885650635,0.8281597222222222,0.8281597222222222,0.8281597222222222,0.22022634744644165,0.125936359167099,0.2782382369041443,0.17182758620922733,0.1425740072953677,0.20173178952382814,2.923194249471029,1.398688554763794,3.807692050933838,0.8281597222222222,0.8281597222222222,0.8281597222222222,0.1811777349651911,0.1443982536647317,0.23778830039616952,2.9236857096354165,1.400162935256958,3.807692050933838,0.6456875344754249,0.5440414507772021,0.8220640569395018,0.10545545760075425,0.08265051656572854,0.13899714211483502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2650568080484567,residual_refine
d300_t1.45_ox10_oy0_r0,300.0,1.45,10.0,0.0,0,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.26235149304072064,0.16929155588150024,0.36504411697387695,0.5365540246469337,0.49431473289667927,0.5614252325789214,5.637339909871419,4.091137409210205,6.792455673217773,0.8309168836805556,0.8309168836805556,0.8309168836805556,0.22503608961900076,0.13478758931159973,0.29809537529945374,0.1799173956950774,0.15217610438158424,0.2122564629169622,2.860736608505249,1.5959770679473877,3.7372474670410156,0.8309168836805556,0.8309168836805556,0.8309168836805556,0.19125665922633228,0.15813025818325271,0.23664503048972152,2.861233353614807,1.597467303276062,3.7372474670410156,0.6578988638357607,0.565625,0.8129496402877698,0.11190976408219855,0.09191307445671536,0.13847752663029358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2649179877751554,residual_refine
d325_t1.48_ox14_oy0_r0,325.0,1.475,14.0,0.0,0,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.26169921457767487,0.16562522947788239,0.3665902018547058,0.5363038436318875,0.4940593563001499,0.5616606506602633,5.537764072418213,3.925295829772949,6.441270351409912,0.8319401041666666,0.8319401041666666,0.8319401041666666,0.23303469022115073,0.14303697645664215,0.3072204887866974,0.1768468981625393,0.1496836525173219,0.2036001442024304,2.641746441523234,1.4299767017364502,3.685598850250244,0.8319401041666666,0.8319401041666666,0.8319401041666666,0.19041916740332243,0.15651373331287402,0.23625526657242663,2.6422579288482666,1.4315111637115479,3.685598850250244,0.6758815365216965,0.5647840531561462,0.8407407407407408,0.11082439965735531,0.09084431777698611,0.1374382956612107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26480878069492614,residual_refine
d325_t1.45_ox16_oy0_r0,325.0,1.45,16.0,0.0,0,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2609134515126546,0.16390830278396606,0.3684414029121399,0.5342064183765634,0.4946084900785685,0.5605229563310514,5.452119827270508,4.0583720207214355,6.357626438140869,0.8308832465277778,0.8308832465277778,0.8308832465277778,0.23266154527664185,0.14171019196510315,0.3004157245159149,0.17179826918305893,0.14200702328645615,0.20307344082834172,2.6099431117375693,1.4904054403305054,3.363564968109131,0.8308832465277778,0.8308832465277778,0.8308832465277778,0.1971674422305573,0.16778321814293037,0.2353692366411433,2.6104583740234375,1.4919512271881104,3.363564968109131,0.674759832550801,0.6058823529411764,0.8097014925373134,0.11550233403382114,0.09730195177956372,0.13769810340348143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647694255793876,residual_refine
d325_t1.45_ox16_oy0_r2,325.0,1.45,16.0,0.0,2,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.26125451425711316,0.1671019345521927,0.37110257148742676,0.5327869279372589,0.4939148415342193,0.5640865257299126,6.12658675511678,3.9737963676452637,9.323238372802734,0.8303841145833334,0.8293858506944445,0.8308832465277778,0.26464296380678815,0.18213334679603577,0.34700578451156616,0.17587414587217684,0.14921392419131657,0.1972700090481684,2.053256313006083,1.1052032709121704,2.6543619632720947,0.8303841145833334,0.8293858506944445,0.8308832465277778,0.19878020939938512,0.17819667633165492,0.23542550141104385,2.054379105567932,1.1085716485977173,2.6543619632720947,0.7598583944008986,0.6690647482014388,0.9146341463414634,0.11436277932094441,0.10218140068886337,0.13510002598077422,0.6666666666666666,-2.0,2.0,-2.0,-2.0,-2.0,1.0,1.0,1.0,0.26107335059324466,residual_refine
d300_t1.45_ox10_oy0_r2,300.0,1.45,10.0,0.0,2,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.262895663579305,0.17137327790260315,0.3666146993637085,0.534895573979772,0.49350136943167533,0.5639669679370598,6.51121171315511,4.000410079956055,10.0464506149292,0.8304184751157407,0.8294216579861111,0.8309168836805556,0.2586791018644969,0.1727708876132965,0.35075968503952026,0.18152306186795567,0.15903928581321108,0.20388393430400464,2.263423045476278,1.4297168254852295,2.85451078414917,0.8304184751157407,0.8294216579861111,0.8309168836805556,0.20258054051095242,0.17865682730547594,0.23808311657406245,2.263423045476278,1.4297168254852295,2.85451078414917,0.7241164468754541,0.632258064516129,0.8481481481481481,0.1177651232241174,0.1040256501603135,0.13847752663029358,0.6666666666666666,-2.0,2.0,-1.6666666666666667,-2.0,-1.0,1.0,1.0,1.0,0.2607021990249106,residual_refine
d300_t1.48_ox8_oy0_r4,300.0,1.475,8.0,0.0,4,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.26147961616516113,0.17159684002399445,0.36419323086738586,0.5359243098215708,0.4921565325927848,0.5691066007591143,6.373628934224446,3.8168816566467285,10.007562637329102,0.8308228443287037,0.8288292100694444,0.8318196614583333,0.28011973202228546,0.19734637439250946,0.39093321561813354,0.18416158480088876,0.16167061205119707,0.20109917279639414,1.7638404766718547,1.2423255443572998,2.2173330783843994,0.8308228443287037,0.8288292100694444,0.8318196614583333,0.21092934236850877,0.1938722596732019,0.2398997898726157,1.76498544216156,1.2438772916793823,2.2173330783843994,0.7946548693739706,0.6824324324324325,0.8651685393258427,0.12179850506787378,0.10964408725602756,0.13925694985710574,1.0,-4.0,4.0,-3.3333333333333335,-4.0,-2.0,1.0,1.0,1.0,0.2605805251693184,residual_refine
d300_t1.43_ox12_oy0_r2,300.0,1.425,12.0,0.0,2,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2616858234008153,0.17001573741436005,0.3691618740558624,0.5331173873480236,0.494494671768527,0.5634290079109256,6.27423620223999,3.8692264556884766,9.781187057495117,0.8295015914351852,0.8285047743055556,0.83,0.2588663101196289,0.17276501655578613,0.3430195748806,0.1784194049813322,0.15470136467756912,0.19882474208513445,2.26863427956899,1.2487071752548218,3.0680811405181885,0.8295015914351852,0.8285047743055556,0.83,0.1924340774441541,0.1535575749849757,0.23705224000256553,2.2696765661239624,1.2518340349197388,3.0680811405181885,0.7125055534149028,0.5862068965517241,0.8716981132075472,0.1112459984445906,0.0883505521909512,0.13717848791894,0.6666666666666666,-2.0,2.0,-2.0,-2.0,-2.0,1.0,1.0,1.0,0.26031797942698426,residual_refine
d300_t1.45_ox10_oy0_r4,300.0,1.45,10.0,0.0,4,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.26087560256322223,0.17031647264957428,0.36723849177360535,0.533919758436161,0.49345859943227943,0.5676973026644817,6.311697324117024,3.9104485511779785,9.559685707092285,0.829920066550926,0.8279264322916666,0.8309168836805556,0.28225912650426227,0.19999977946281433,0.38596606254577637,0.18166244064786718,0.1549936834875153,0.20101316901182747,1.784656286239624,1.298354148864746,2.162654161453247,0.829920066550926,0.8279264322916666,0.8309168836805556,0.21100083438101444,0.19294005628062685,0.23823811272424386,1.7863914171854656,1.3015286922454834,2.162654161453247,0.7934554611647777,0.6996699669966997,0.8620689655172413,0.12183142224480492,0.10935706084959816,0.13821771888802287,1.0,-4.0,4.0,-3.3333333333333335,-4.0,-2.0,1.0,1.0,1.0,0.26025144825937885,residual_refine
d300_t1.45_ox12_oy0_r2,300.0,1.45,12.0,0.0,2,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2609213838974635,0.17050981521606445,0.371692955493927,0.5309943886097869,0.49544858612767945,0.5624539996010842,6.1963067054748535,4.154089450836182,9.435285568237305,0.8276613136574075,0.8266644965277777,0.8281597222222222,0.25581017633279163,0.16785936057567596,0.33056360483169556,0.173723746568616,0.14318336289551112,0.19803780267481133,2.348974665006002,1.3208757638931274,2.9746599197387695,0.8276613136574075,0.8266644965277777,0.8281597222222222,0.19172022842704148,0.16584413564154857,0.2386036156665561,2.3495057821273804,1.3224691152572632,2.9746599197387695,0.7113305090735015,0.6306620209059234,0.8615384615384616,0.11080106025268481,0.09547559672247952,0.13847752663029358,0.6666666666666666,-2.0,2.0,-2.0,-2.0,-2.0,1.0,1.0,1.0,0.25987927451645576,residual_refine
d300_t1.43_ox12_oy0_r4,300.0,1.425,12.0,0.0,4,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.26025811831156415,0.1693052351474762,0.37074536085128784,0.532330871428809,0.49434078858029384,0.5676682357678072,6.331448952356975,3.848332166671753,9.718353271484375,0.8290031828703702,0.8270095486111111,0.83,0.28387250006198883,0.20231397449970245,0.3799910545349121,0.1800791029285134,0.15349808782397978,0.19522723766224997,1.795770804087321,1.252667784690857,2.2406809329986572,0.8290031828703702,0.8270095486111111,0.83,0.20970155873452426,0.19375685384177593,0.2414028676645956,1.7970081170399983,1.2543184757232666,2.2406809329986572,0.8000097308379711,0.6996466431095406,0.8844621513944223,0.12076112753408387,0.10993111366245695,0.13977656534164717,1.3333333333333333,-4.0,4.0,-3.3333333333333335,-4.0,-2.0,1.0,1.0,1.0,0.259371046105589,residual_refine
d300_t1.43_ox10_oy0_r4,300.0,1.425,10.0,0.0,4,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2607676734526952,0.16944657266139984,0.3626166880130768,0.5359463078382029,0.4924305035425333,0.5679573437243491,6.526916424433391,3.930804491043091,10.262237548828125,0.831765769675926,0.8297721354166666,0.8327625868055556,0.28264396886030835,0.2008727639913559,0.3937559127807617,0.18386599903826661,0.16035933436586314,0.2013625718657715,1.7759318749109905,1.3443702459335327,2.2318904399871826,0.831765769675926,0.8297721354166666,0.8327625868055556,0.21720793710736366,0.1919951239333604,0.24070085110854259,1.7770862181981404,1.3458606004714966,2.2318904399871826,0.7812447185109056,0.6542857142857142,0.8561151079136691,0.12666314210697513,0.10849598163030999,0.1400363730839179,0.6666666666666666,-4.0,4.0,-3.0,-4.0,-1.0,1.0,1.0,1.0,0.2592638871533732,residual_refine
